Название,Цена,Операционная система,Диагональ экрана,Разрешение экрана,Производитель процессора,Модель процессора,Тактовая частота,Объем оперативной памяти,Тип оперативной памяти,Тип накопителя,Объем накопителя,Производитель видеокарты,Модель видеокарты,Объем видеопамяти,Цвет
Игровой ноутбук Acer Aspire 7 A715-42G-R6VJ (NH.QBFER.001),65999,Без ОС,"15.6""",1920x1080 Пикс,AMD,Ryzen 5 5500U,2.1 ГГц,8 ГБ,DDR4,SSD,256 ГБ,NVIDIA,GeForce GTX 1650,4 ГБ,Черный
Ноутбук Honor MagicBook 15 2021 i5/16/512 Space Gray (BDR-WFH9HN),79999,Windows 10 Домашняя x64,"15.6""",1920x1080 Пикс,Intel,Core i5-1135G7,2.4 ГГц,16 ГБ,DDR4,SSD,512 ГБ,Intel,Intel Iris Graphics,,Серый
Ноутбук Irbis NB68,9100,Windows 10,"14""",1920x1080 Пикс,Intel,Atom Z3735F,1.33 ГГц,2 ГБ,DDR3L,eMMC,32 ГБ,Intel,Intel HD Graphics,,Серебристый
Ноутбук Digma EVE 10 C300 (ES1040EW),9999,Windows 10,"10.1""",1280x800 Пикс,Intel,Celeron N3350,1.1 ГГц,2 ГБ,DDR3L,eMMC,32 ГБ,Intel,HD Graphics 500,,Черный
Ноутбук Apple MacBook Air 13 M1 8-core (7-core GPU)/8/256 Gold (MGND3RU/A),109999,MacOS Big Sur,"13.3""",2560x1600 Пикс,Apple,Apple M1,,8 ГБ,,SSD,256 ГБ,Apple,,,Золотистый
Ноутбук Apple MacBook Pro 13 M1 8-core (8-core GPU)/16/512 Space Gray (Z11B),165999,MacOS,"13""",2560x1600 Пикс,Apple,Apple M1,,16 ГБ,,,512 ГБ,Apple,,,Серый
Ноутбук Apple MacBook Air 13 M1 8-core (8-core GPU)/8/512 Space Gray (MGN73RU/A),124999,MacOS Big Sur,"13.3""",2560x1600 Пикс,Apple,Apple M1,,8 ГБ,,SSD,512 ГБ,Apple,,,Серый
Ноутбук Apple MacBook Pro 13 M1 8-core (8-core GPU)/8/512 Space Gray (MYD92RU/A),149999,MacOS Big Sur,"13.3""",2560x1600 Пикс,Apple,Apple M1,,8 ГБ,,SSD,512 ГБ,Apple,,,Серый
Ноутбук Honor MagicBook 15 R5/16/512 Space Grey (BMH-WFQ9HN),79999,Windows 10 Домашняя x64,"15.6""",1920x1080 Пикс,AMD,Ryzen 5 5500U,2.1 ГГц,16 ГБ,DDR4,SSD,512 ГБ,AMD,Radeon Graphics,,Серый
Ноутбук Apple MacBook Air 13 M1 8-core (8-core GPU)/16/512GB SSD Space Gray (Z125),159999,MacOS,"13.3""",2560x1600 Пикс,Apple,Apple M1,,16 ГБ,,SSD,512 ГБ,Apple,,,Серый
Ультрабук Acer Swift 1 SF114-33-P5NL (NX.A3FER.001),31399,FreeDOS,"14""",1920x1080 Пикс,Intel,Pentium Silver N5030,1.1 ГГц,4 ГБ,LPDDR4,SSD,128 ГБ,Intel,Intel UHD Graphics 605,,Синий
Ноутбук Acer Aspire 3 A315-23-R7CZ (NX.HVTER.028),36999,Windows 10 Домашняя x64,"15.6""",1366x768 Пикс,AMD,Ryzen 3 3250U,2.6 ГГц,8 ГБ,DDR4,SSD,256 ГБ,AMD,Radeon Graphics,,Черный
Ноутбук HP 15s-eq2099ur (5D647EA),64999,FreeDOS,"15.6""",1920x1080 Пикс,AMD,Ryzen 5 5500U,2.1 ГГц,16 ГБ,DDR4,SSD,512 ГБ,AMD,Radeon,,Серебристый
Ноутбук Apple MacBook Pro 13 M1 8-core (8-core GPU)/16/256 Space Gray (Z11B),170499,MacOS,"13.3""",2560x1600 Пикс,Apple,Apple M1,,16 ГБ,,SSD,256 ГБ,Apple,,,Серый
Ноутбук Honor MagicBook 14 R5/8/512 Space Grey (NMH-WDQ9HN),69999,Windows 10 Домашняя x64,"14""",1920x1080 Пикс,AMD,Ryzen 5 5500U,2.1 ГГц,8 ГБ,DDR4,SSD,512 ГБ,AMD,Radeon Graphics,,Серый
Ультрабук Acer Swift 1 SF114-34-C564 (NX.A74ER.002),39999,Windows 10 Домашняя,"14""",1920x1080 Пикс,Intel,Celeron N4500,1.1 ГГц,4 ГБ,DDR4,SSD,128 ГБ,Intel,HD Graphics 615,,Золотистый
Ультрабук HUAWEI MateBook 16 16+512GB Space Grey (CREM-WFD9),99999,Windows 10,"16""",2520x1680 Пикс,AMD,Ryzen 7 5800H,3.2 ГГц,16 ГБ,DDR4,SSD,512 ГБ,AMD,Radeon Graphics,,Серый
Ноутбук Haier U1520EM,17999,Windows 10 Домашняя,"15.6""",1920x1080 Пикс,Intel,Celeron N4020,1.1 ГГц,4 ГБ,LPDDR4,eMMC,64 ГБ,Intel,Intel UHD Graphics 600,,Серебристый
Ноутбук HP Pavilion 14-ec0010ur (491K0EA),54999,Windows 10 Домашняя x64,"14""",1920x1080 Пикс,AMD,Ryzen 3 5300U,2.6 ГГц,8 ГБ,DDR4,SSD,512 ГБ,AMD,AMD Radeon Graphics,,Синий
